*** 2025-12-07  14:14:26 *** (restart)
FD : today at 07:57 <=> 11/30/2025 : AG

_*** 2025-12-07  14:15:15 ***_

_*** 2025-12-07  14:18:21 ***_

_*** 2025-12-07  14:21:26 ***_

_*** 2025-12-07  14:24:32 ***_

_*** 2025-12-07  14:27:37 ***_

_*** 2025-12-07  14:30:43 ***_

_*** 2025-12-07  14:33:49 ***_

_*** 2025-12-07  14:36:54 ***_

_*** 2025-12-07  14:40:00 ***_

_*** 2025-12-07  14:43:05 ***_

_*** 2025-12-07  14:46:11 ***_

_*** 2025-12-07  14:49:16 ***_

_*** 2025-12-07  14:52:21 ***_

_*** 2025-12-07  14:55:27 ***_

_*** 2025-12-07  14:58:32 ***_

_*** 2025-12-07  15:01:38 ***_

_*** 2025-12-07  15:04:43 ***_

_*** 2025-12-07  15:07:49 ***_

_*** 2025-12-07  15:10:54 ***_

_*** 2025-12-07  15:14:00 ***_

_*** 2025-12-07  15:17:05 ***_

_*** 2025-12-07  15:20:11 ***_

_*** 2025-12-07  15:23:17 ***_

_*** 2025-12-07  15:26:22 ***_

_*** 2025-12-07  15:29:27 ***_

_*** 2025-12-07  15:32:33 ***_

_*** 2025-12-07  15:35:38 ***_

_*** 2025-12-07  15:38:44 ***_

_*** 2025-12-07  15:41:49 ***_

_*** 2025-12-07  15:44:55 ***_

_*** 2025-12-07  15:48:00 ***_

_*** 2025-12-07  15:51:06 ***_

_*** 2025-12-07  15:54:11 ***_

_*** 2025-12-07  15:57:17 ***_

_*** 2025-12-07  16:00:22 ***_

_*** 2025-12-07  16:03:28 ***_

_*** 2025-12-07  16:06:33 ***_

_*** 2025-12-07  16:09:39 ***_

_*** 2025-12-07  16:12:44 ***_

_*** 2025-12-07  16:15:49 ***_

_*** 2025-12-07  16:18:55 ***_

_*** 2025-12-07  16:22:00 ***_

_*** 2025-12-07  16:25:06 ***_

_*** 2025-12-07  16:28:11 ***_

_*** 2025-12-07  16:31:17 ***_

_*** 2025-12-07  16:34:22 ***_

_*** 2025-12-07  16:37:28 ***_

_*** 2025-12-07  16:40:33 ***_

_*** 2025-12-07  16:43:38 ***_

_*** 2025-12-07  16:46:44 ***_

_*** 2025-12-07  16:49:49 ***_

_*** 2025-12-07  16:52:55 ***_

_*** 2025-12-07  16:56:00 ***_

_*** 2025-12-07  16:59:05 ***_

_*** 2025-12-07  17:02:11 ***_

_*** 2025-12-07  17:05:16 ***_

_*** 2025-12-07  17:08:22 ***_

_*** 2025-12-07  17:11:27 ***_

_*** 2025-12-07  17:14:33 ***_

_*** 2025-12-07  17:17:38 ***_

_*** 2025-12-07  17:20:44 ***_

_*** 2025-12-07  17:23:49 ***_

_*** 2025-12-07  17:26:54 ***_

_*** 2025-12-07  17:30:00 ***_

_*** 2025-12-07  17:33:05 ***_

_*** 2025-12-07  17:36:11 ***_

_*** 2025-12-07  17:39:16 ***_

_*** 2025-12-07  17:42:22 ***_

_*** 2025-12-07  17:45:27 ***_

_*** 2025-12-07  17:48:32 ***_

_*** 2025-12-07  17:51:38 ***_

_*** 2025-12-07  17:54:43 ***_

_*** 2025-12-07  17:57:49 ***_

_*** 2025-12-07  18:00:54 ***_

_*** 2025-12-07  18:03:59 ***_

_*** 2025-12-07  18:07:05 ***_

_*** 2025-12-07  18:10:10 ***_

_*** 2025-12-07  18:13:15 ***_

_*** 2025-12-07  18:16:21 ***_

