*** 2025-11-22  07:39:45 *** (restart)
FD : 11/19/2025 <=> 11/19/2025 : AG

_*** 2025-11-22  07:40:37 ***_

_*** 2025-11-22  07:43:44 ***_

_*** 2025-11-22  07:46:50 ***_

_*** 2025-11-22  07:49:56 ***_

_*** 2025-11-22  07:53:02 ***_

_*** 2025-11-22  07:56:09 ***_

_*** 2025-11-22  07:59:15 ***_

_*** 2025-11-22  08:02:21 ***_

_*** 2025-11-22  08:05:27 ***_

_*** 2025-11-22  08:08:33 ***_

_*** 2025-11-22  08:11:39 ***_

_*** 2025-11-22  08:14:45 ***_

_*** 2025-11-22  08:17:51 ***_

_*** 2025-11-22  08:20:57 ***_

_*** 2025-11-22  08:24:03 ***_

_*** 2025-11-22  08:27:09 ***_

_*** 2025-11-22  08:30:14 ***_

_*** 2025-11-22  08:33:20 ***_

_*** 2025-11-22  08:36:26 ***_

_*** 2025-11-22  08:39:32 ***_

_*** 2025-11-22  08:42:38 ***_

_*** 2025-11-22  08:45:44 ***_

_*** 2025-11-22  08:48:50 ***_

_*** 2025-11-22  08:51:56 ***_

_*** 2025-11-22  08:55:02 ***_

_*** 2025-11-22  08:58:08 ***_

_*** 2025-11-22  09:01:14 ***_

_*** 2025-11-22  09:04:20 ***_

_*** 2025-11-22  09:07:26 ***_

_*** 2025-11-22  09:10:32 ***_

_*** 2025-11-22  09:13:38 ***_

_*** 2025-11-22  09:16:44 ***_

_*** 2025-11-22  09:19:50 ***_

_*** 2025-11-22  09:22:56 ***_

_*** 2025-11-22  09:26:02 ***_

_*** 2025-11-22  09:29:08 ***_

_*** 2025-11-22  09:32:14 ***_

_*** 2025-11-22  09:35:20 ***_

_*** 2025-11-22  09:38:26 ***_

_*** 2025-11-22  09:41:32 ***_

_*** 2025-11-22  09:44:37 ***_

_*** 2025-11-22  09:47:43 ***_

_*** 2025-11-22  09:50:49 ***_

_*** 2025-11-22  09:53:55 ***_

_*** 2025-11-22  09:57:01 ***_

_*** 2025-11-22  10:00:07 ***_

_*** 2025-11-22  10:03:13 ***_

_*** 2025-11-22  10:06:19 ***_

_*** 2025-11-22  10:09:25 ***_

_*** 2025-11-22  10:12:31 ***_

_*** 2025-11-22  10:15:37 ***_

_*** 2025-11-22  10:18:43 ***_

_*** 2025-11-22  10:21:49 ***_

_*** 2025-11-22  10:24:55 ***_

_*** 2025-11-22  10:28:01 ***_

_*** 2025-11-22  10:31:07 ***_

_*** 2025-11-22  10:34:13 ***_

_*** 2025-11-22  10:37:18 ***_

_*** 2025-11-22  10:40:24 ***_

_*** 2025-11-22  10:43:30 ***_

_*** 2025-11-22  10:46:36 ***_

_*** 2025-11-22  10:49:42 ***_

_*** 2025-11-22  10:52:49 ***_

_*** 2025-11-22  10:55:55 ***_

_*** 2025-11-22  10:59:00 ***_

_*** 2025-11-22  11:02:06 ***_

_*** 2025-11-22  11:05:12 ***_

_*** 2025-11-22  11:08:18 ***_

_*** 2025-11-22  11:11:24 ***_

_*** 2025-11-22  11:14:30 ***_

_*** 2025-11-22  11:17:36 ***_

_*** 2025-11-22  11:20:42 ***_

_*** 2025-11-22  11:23:48 ***_

_*** 2025-11-22  11:26:54 ***_

_*** 2025-11-22  11:30:00 ***_

_*** 2025-11-22  11:33:06 ***_

_*** 2025-11-22  11:36:12 ***_

_*** 2025-11-22  11:39:18 ***_

_*** 2025-11-22  11:42:24 ***_

_*** 2025-11-22  11:45:30 ***_

_*** 2025-11-22  11:48:36 ***_

_*** 2025-11-22  11:51:42 ***_

_*** 2025-11-22  11:54:48 ***_

_*** 2025-11-22  11:57:54 ***_

_*** 2025-11-22  12:01:00 ***_

_*** 2025-11-22  12:04:06 ***_

_*** 2025-11-22  12:07:11 ***_

_*** 2025-11-22  12:10:17 ***_

_*** 2025-11-22  12:13:23 ***_

_*** 2025-11-22  12:16:29 ***_

_*** 2025-11-22  12:19:35 ***_

_*** 2025-11-22  12:22:41 ***_

_*** 2025-11-22  12:25:47 ***_

_*** 2025-11-22  12:28:53 ***_

_*** 2025-11-22  12:31:59 ***_

_*** 2025-11-22  12:35:05 ***_

_*** 2025-11-22  12:38:11 ***_

_*** 2025-11-22  12:41:17 ***_

_*** 2025-11-22  12:44:23 ***_

_*** 2025-11-22  12:47:29 ***_

_*** 2025-11-22  12:50:35 ***_

_*** 2025-11-22  12:53:41 ***_

_*** 2025-11-22  12:56:47 ***_

_*** 2025-11-22  12:59:53 ***_

_*** 2025-11-22  13:02:59 ***_

_*** 2025-11-22  13:06:05 ***_

_*** 2025-11-22  13:09:10 ***_

_*** 2025-11-22  13:12:16 ***_

_*** 2025-11-22  13:15:22 ***_

_*** 2025-11-22  13:18:28 ***_

_*** 2025-11-22  13:21:34 ***_

_*** 2025-11-22  13:24:40 ***_

_*** 2025-11-22  13:27:46 ***_

_*** 2025-11-22  13:30:52 ***_

_*** 2025-11-22  13:33:58 ***_

_*** 2025-11-22  13:37:04 ***_

_*** 2025-11-22  13:40:10 ***_

_*** 2025-11-22  13:43:16 ***_

_*** 2025-11-22  13:46:22 ***_

_*** 2025-11-22  13:49:28 ***_

_*** 2025-11-22  13:52:34 ***_

_*** 2025-11-22  13:55:40 ***_

_*** 2025-11-22  13:58:46 ***_

_*** 2025-11-22  14:01:52 ***_

_*** 2025-11-22  14:04:58 ***_

_*** 2025-11-22  14:08:04 ***_

_*** 2025-11-22  14:11:10 ***_

_*** 2025-11-22  14:14:16 ***_

_*** 2025-11-22  14:17:22 ***_

